Cluster,Tema Predominante,Frequência,Percentual
0,Trabalho e Emprego,22,17.19
1,Direito Civil e Processual Civil,6,13.64
2,Defesa e Segurança,2,22.22
3,Finanças Públicas e Orçamento,1,33.33
4,Educação,8,57.14
5,Trabalho e Emprego,2,11.11
6,Finanças Públicas e Orçamento,6,13.95
7,Finanças Públicas e Orçamento,14,14.29
8,Direito Penal e Processual Penal,60,38.96
9,Direito Civil e Processual Civil,1,33.33
10,Direito Civil e Processual Civil,15,22.39
11,Finanças Públicas e Orçamento,1,50.0
12,Direito Penal e Processual Penal,9,12.68
13,Educação,4,57.14
14,Trabalho e Emprego,3,21.43
15,Direitos Humanos e Minorias,9,11.39
16,Direito Civil e Processual Civil,19,18.45
17,Comunicações,2,40.0
18,Processo Legislativo e Atuação Parlamentar,3,25.0
19,Direito e Defesa do Consumidor,9,14.52
20,Direitos Humanos e Minorias,10,17.86
21,Saúde,3,100.0
22,Educação,2,14.29
23,Direito Penal e Processual Penal,1,100.0
24,Saúde,1,100.0
25,Finanças Públicas e Orçamento,7,11.48
26,Direitos Humanos e Minorias,16,14.55
27,Direito Civil e Processual Civil,5,9.8
28,Direitos Humanos e Minorias,10,24.39
29,Direitos Humanos e Minorias,10,12.05
30,Finanças Públicas e Orçamento,16,14.04
31,Defesa e Segurança,5,50.0
32,Direito e Defesa do Consumidor,3,13.64
33,Direito e Defesa do Consumidor,3,13.64
34,Direito Penal e Processual Penal,24,19.35
35,Direitos Humanos e Minorias,15,15.0
36,Finanças Públicas e Orçamento,23,23.23
37,Energia,3,23.08
38,Direitos Humanos e Minorias,7,16.67
39,Direito Penal e Processual Penal,11,17.19
40,Direito e Defesa do Consumidor,7,14.0
41,Direito Penal e Processual Penal,19,23.75
42,Direitos Humanos e Minorias,8,13.11
43,Meio Ambiente e Desenvolvimento Sustentável,16,14.95
44,Educação,1,25.0
45,Direitos Humanos e Minorias,7,13.21
46,Administração Pública,1,33.33
47,Direitos Humanos e Minorias,12,16.22
48,Viação,8,20.0
49,Direito Civil e Processual Civil,6,15.79
